Value,Count,apps_mzs_rast,LC20_BPS_220,LC24_SCla_250,BPS_MODEL,BPS_NAME,GROUPVEG,FRI_REPLAC,FRI_MIXED,FRI_SURFAC,FRI_ALLFIR,LABEL
1930,456417.000000000000000,47,2069,120,13070_46_47_48,East Gulf Coastal Plain Northern Dry Upland Hardwood Forest,Hardwood,388,89,9,8,Developed
1931,1537166.000000000000000,47,2069,180,13070_46_47_48,East Gulf Coastal Plain Northern Dry Upland Hardwood Forest,Hardwood,388,89,9,8,Agriculture
1932,649204.000000000000000,47,2069,5,13070_46_47_48,East Gulf Coastal Plain Northern Dry Upland Hardwood Forest,Hardwood,388,89,9,8,E
1933,80.000000000000000,47,2083,2,14570_47_48,South-Central Interior/Upper Coastal Plain Wet Flatwoods,Hardwood,189,118,9,8,B
1934,15.000000000000000,47,2083,132,14570_47_48,South-Central Interior/Upper Coastal Plain Wet Flatwoods,Hardwood,189,118,9,8,Barren or Sparse
1935,2482.000000000000000,47,2077,3,13570_46_47_55_58_99,Southern Coastal Plain Mesic Slope Forest,Hardwood,402,159,52,35,C
1936,176281.000000000000000,47,2069,4,13070_46_47_48,East Gulf Coastal Plain Northern Dry Upland Hardwood Forest,Hardwood,388,89,9,8,D
1937,41.000000000000000,47,2082,3,14270_47,East Gulf Coastal Plain Jackson Plain Prairie and Barrens,Grassland,18,34,12,6,C
1938,320.000000000000000,47,2077,1,13570_46_47_55_58_99,Southern Coastal Plain Mesic Slope Forest,Hardwood,402,159,52,35,A
1939,403.000000000000000,47,2068,132,13060_47_48,East Gulf Coastal Plain Northern Loess Plain Oak-Hickory Upland,Hardwood,386,87,9,8,Barren or Sparse
1940,6521.000000000000000,47,2087,180,14740_46_47_48_55_56_58_60_99,Gulf and Atlantic Coastal Plain Small Stream Riparian Systems,Riparian,477,202,131,68,Agriculture
1941,2673.000000000000000,47,2087,7,14740_46_47_48_55_56_58_60_99,Gulf and Atlantic Coastal Plain Small Stream Riparian Systems,Riparian,477,202,131,68,UE
1942,356.000000000000000,47,2087,2,14740_46_47_48_55_56_58_60_99,Gulf and Atlantic Coastal Plain Small Stream Riparian Systems,Riparian,477,202,131,68,B
1943,152.000000000000000,47,2087,3,14740_46_47_48_55_56_58_60_99,Gulf and Atlantic Coastal Plain Small Stream Riparian Systems,Riparian,477,202,131,68,C
1944,1920.000000000000000,47,2077,2,13570_46_47_55_58_99,Southern Coastal Plain Mesic Slope Forest,Hardwood,402,159,52,35,B
1945,305.000000000000000,47,2073,1,13250_46_47_48,East Gulf Coastal Plain Northern Mesic Hardwood Slope Forest,Hardwood,404,159,52,36,A
1946,320.000000000000000,47,2087,120,14740_46_47_48_55_56_58_60_99,Gulf and Atlantic Coastal Plain Small Stream Riparian Systems,Riparian,477,202,131,68,Developed
1947,17.000000000000000,47,2087,1,14740_46_47_48_55_56_58_60_99,Gulf and Atlantic Coastal Plain Small Stream Riparian Systems,Riparian,477,202,131,68,A
1948,51.000000000000000,47,2087,5,14740_46_47_48_55_56_58_60_99,Gulf and Atlantic Coastal Plain Small Stream Riparian Systems,Riparian,477,202,131,68,E
1949,38.000000000000000,47,2068,2,13060_47_48,East Gulf Coastal Plain Northern Loess Plain Oak-Hickory Upland,Hardwood,386,87,9,8,B
1950,100123.000000000000000,47,2075,2,13270_45_46_47,East Gulf Coastal Plain Northern Loess Bluff Forest,Hardwood,394,356,152,84,B
1951,27767.000000000000000,47,2075,5,13270_45_46_47,East Gulf Coastal Plain Northern Loess Bluff Forest,Hardwood,394,356,152,84,E
1952,6934.000000000000000,47,2075,4,13270_45_46_47,East Gulf Coastal Plain Northern Loess Bluff Forest,Hardwood,394,356,152,84,D
1953,3525.000000000000000,47,2090,3,15090_45_47,Mississippi River Alluvial Plain Dry-Mesic Loess Slope Forest,Hardwood,479,106,88,44,C
1954,86.000000000000000,47,2077,4,13570_46_47_55_58_99,Southern Coastal Plain Mesic Slope Forest,Hardwood,402,159,52,35,D
1955,1596.000000000000000,47,2090,4,15090_45_47,Mississippi River Alluvial Plain Dry-Mesic Loess Slope Forest,Hardwood,479,106,88,44,D
1956,320.000000000000000,47,2077,5,13570_46_47_55_58_99,Southern Coastal Plain Mesic Slope Forest,Hardwood,402,159,52,35,E
1957,797.000000000000000,47,2073,5,13250_46_47_48,East Gulf Coastal Plain Northern Mesic Hardwood Slope Forest,Hardwood,404,159,52,36,E
1958,830.000000000000000,47,2075,1,13270_45_46_47,East Gulf Coastal Plain Northern Loess Bluff Forest,Hardwood,394,356,152,84,A
1959,335.000000000000000,47,2090,1,15090_45_47,Mississippi River Alluvial Plain Dry-Mesic Loess Slope Forest,Hardwood,479,106,88,44,A
1960,369.000000000000000,47,2086,132,14730_45_46_47_98_99,Gulf and Atlantic Coastal Plain Floodplain Systems,Riparian,115,-9999,100,53,Barren or Sparse
1961,358.000000000000000,47,2082,132,14270_47,East Gulf Coastal Plain Jackson Plain Prairie and Barrens,Grassland,18,34,12,6,Barren or Sparse
1962,36.000000000000000,47,2089,132,14800_47,Gulf and Atlantic Coastal Plain Swamp Systems,Riparian,-9999,-9999,219,219,Barren or Sparse
